------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1      2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.9               root (UID1)                 5656         56            24         0     0      0    0    55   1       100.00          300.38             99.71          
  bin.8               root (UID1)                 5656         56            24         0     0      0    31   23   2       100.00          271.97             92.75          
  bin.77    c__Alphaproteobacteria (UID3422)       26         529           308         0    522     7    0    0    0       100.00           2.27              57.14          
  bin.72    c__Gammaproteobacteria (UID4444)      263         507           232         0    503     4    0    0    0       100.00           1.10               0.00          
  bin.7               root (UID1)                 5656         56            24         0     0      0    0    4    52      100.00          465.36             28.46          
  bin.6               root (UID1)                 5656         56            24         0     0      0    0    2    54      100.00          617.02             24.69          
  bin.52      o__Pseudomonadales (UID4488)        185         813           308         0    810     3    0    0    0       100.00           0.20               0.00          
  bin.51       o__Cytophagales (UID2938)           28         439           266         0    439     0    0    0    0       100.00           0.00               0.00          
  bin.50      o__Pseudomonadales (UID4488)        185         813           308         0    810     3    0    0    0       100.00           0.30               0.00          
  bin.40     f__Pseudomonadaceae (UID4490)        183         844           320         0    836     8    0    0    0       100.00           1.03               0.00          
  bin.4               root (UID1)                 5656         56            24         0     0      0    3    5    48      100.00          661.33             56.73          
  bin.39     f__Pseudomonadaceae (UID4490)        183         845           321         0    843     2    0    0    0       100.00           0.17               0.00          
  bin.34     f__Streptomycetaceae (UID2048)        60         460           233         0    460     0    0    0    0       100.00           0.00               0.00          
  bin.30      o__Burkholderiales (UID4002)        107         574           251         0    563     11   0    0    0       100.00           2.32               9.09          
  bin.25      o__Burkholderiales (UID4000)        193         427           214         0    424     3    0    0    0       100.00           0.55               0.00          
  bin.22      o__Burkholderiales (UID4002)        107         569           249         0    563     6    0    0    0       100.00           0.77               0.00          
  bin.20      o__Burkholderiales (UID4000)        193         427           214         0    420     5    2    0    0       100.00           1.92              54.55          
  bin.18          k__Bacteria (UID203)            5449        104            58         0     84     20   0    0    0       100.00          10.34              30.00          
  bin.17      o__Actinomycetales (UID2014)         33         350           203         0    349     1    0    0    0       100.00           0.08               0.00          
  bin.13              root (UID1)                 5656         56            24         0     0      56   0    0    0       100.00          100.00             51.79          
  bin.60      o__Burkholderiales (UID4002)        107         573           251         1    568     4    0    0    0       99.95            1.02               0.00          
  bin.54      o__Burkholderiales (UID4001)        108         570           250         1    563     5    1    0    0       99.95            1.77               0.00          
  bin.36      g__Bradyrhizobium (UID3699)          37         824           336         2    821     1    0    0    0       99.95            0.30               0.00          
  bin.45     f__Burkholderiaceae (UID4003)         91         596           218         1    594     1    0    0    0       99.94            0.08               0.00          
  bin.24       f__Rhizobiaceae (UID3591)           50         838           326         1    827     10   0    0    0       99.94            1.08               0.00          
  bin.56    c__Alphaproteobacteria (UID3422)       26         529           308         1    514     12   1    0    1       99.92            3.92               2.33          
  bin.33        o__Rhizobiales (UID3450)          238         513           244         1    508     4    0    0    0       99.92            0.28               0.00          
  bin.26        o__Rhizobiales (UID3450)          238         513           244         1    498     14   0    0    0       99.92            1.82               0.00          
  bin.21     f__Streptomycetaceae (UID2048)        60         460           233         1    456     1    2    0    0       99.89            1.79              28.57          
  bin.64     f__Burkholderiaceae (UID4003)         91         596           218         2    592     2    0    0    0       99.89            0.69               0.00          
  bin.46      o__Burkholderiales (UID4105)         54         553           264         2    550     1    0    0    0       99.87            0.38               0.00          
  bin.43        g__Pseudomonas (UID4550)           78         1044          368         3    1037    4    0    0    0       99.85            0.61               0.00          
  bin.48        o__Rhizobiales (UID3449)          345         430           257         1    426     3    0    0    0       99.81            0.16               0.00          
  bin.42     f__Xanthomonadaceae (UID4214)         55         659           290         2    651     4    2    0    0       99.80            1.67               0.00          
  bin.16       g__Burkholderia (UID4006)           64         769           248         2    752     15   0    0    0       99.80            1.80               0.00          
