----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.60              root (UID1)                 5656         56            24         0     54   2    0    0    0       100.00           0.84               0.00          
  bin.59              root (UID1)                 5656         56            24         0     56   0    0    0    0       100.00           0.00               0.00          
  bin.58              root (UID1)                 5656         56            24         0     56   0    0    0    0       100.00           0.00               0.00          
  bin.5           k__Bacteria (UID203)            5449        104            58         0     48   51   4    1    0       100.00          82.35              76.81          
  bin.35              root (UID1)                 5656         56            24         0     56   0    0    0    0       100.00           0.00               0.00          
  bin.29              root (UID1)                 5656         56            24         0     53   3    0    0    0       100.00           1.42               0.00          
  bin.18              root (UID1)                 5656         56            24         0     52   4    0    0    0       100.00           5.67              50.00          
  bin.10              root (UID1)                 5656         56            24         1     50   5    0    0    0       99.54            5.85              40.00          
  bin.48     o__Sphingomonadales (UID3310)         26         569           293         4    547   17   1    0    0       99.52            3.68               0.00          
  bin.7       o__Actinomycetales (UID2014)         33         350           203         4    333   13   0    0    0       98.97            3.27              23.08          
  bin.49              root (UID1)                 5656         56            24         1     52   3    0    0    0       98.61            3.59              100.00         
  bin.37              root (UID1)                 5656         56            24         8     47   1    0    0    0       96.54            2.08               0.00          
  bin.57    c__Gammaproteobacteria (UID4444)      263         507           232         64   433   10   0    0    0       96.17            3.14              20.00          
  bin.4     c__Deltaproteobacteria (UID3216)       83         247           155         9    226   11   1    0    0       94.84            6.67               0.00          
  bin.36              root (UID1)                 5656         56            24         4     40   12   0    0    0       94.44           16.30              58.33          
  bin.12              root (UID1)                 5656         56            24         5     43   8    0    0    0       93.98           10.61               0.00          
  bin.26              root (UID1)                 5656         56            24         12    41   3    0    0    0       91.79            4.69              66.67          
  bin.13      o__Actinomycetales (UID1696)        455         315           190         29   262   24   0    0    0       91.46            8.44              16.67          
  bin.11              root (UID1)                 5656         56            24         10    35   10   1    0    0       90.21           24.31              46.15          
  bin.34      o__Burkholderiales (UID4105)         54         553           264         79   423   48   3    0    0       89.14            9.86              56.14          
  bin.24              root (UID1)                 5656         56            24         4     50   2    0    0    0       87.50            0.93               0.00          
  bin.38              root (UID1)                 5656         56            24         11    37   7    1    0    0       87.20           17.74              40.00          
  bin.14              root (UID1)                 5656         56            24         12    40   4    0    0    0       86.88            5.30              75.00          
  bin.33      o__Burkholderiales (UID4105)         54         553           264         92   427   32   2    0    0       86.86            9.63              39.47          
  bin.15       g__Streptomyces (UID2055)           49         577           284        106   452   19   0    0    0       85.47            2.79              26.32          
  bin.22              root (UID1)                 5656         56            24         16    35   5    0    0    0       83.04            9.47              80.00          
  bin.19              root (UID1)                 5656         56            24         10    43   3    0    0    0       82.98            6.08              66.67          
  bin.16              root (UID1)                 5656         56            24         7     40   8    1    0    0       82.20           12.31              81.82          
  bin.21              root (UID1)                 5656         56            24         18    36   1    1    0    0       80.96           12.50              25.00          
  bin.25              root (UID1)                 5656         56            24         27    25   4    0    0    0       79.04           12.50              75.00          
  bin.40       f__Rhizobiaceae (UID3563)           81         808           337        194   565   48   1    0    0       78.67            6.41              64.71          
  bin.52              root (UID1)                 5656         56            24         31    25   0    0    0    0       75.38            0.00               0.00          
  bin.39        g__Pseudomonas (UID4550)           78         1044          368        336   682   26   0    0    0       75.37            2.87              65.38          
  bin.45              root (UID1)                 5656         56            24         19    37   0    0    0    0       73.92            0.00               0.00          
  bin.27              root (UID1)                 5656         56            24         14    36   6    0    0    0       73.91           11.81              16.67          
  bin.43     f__Flavobacteriaceae (UID2817)        81         511           283        185   303   22   0    0    1       72.66            6.90              18.75          
  bin.53      o__Burkholderiales (UID4105)         54         553           264        148   369   35   1    0    0       71.73            7.23              68.42          
  bin.42    c__Alphaproteobacteria (UID3305)      564         345           228        105   221   19   0    0    0       70.68            6.43               5.26          
  bin.6               root (UID1)                 5656         56            24         26    26   4    0    0    0       70.10           10.80              50.00          
  bin.9               root (UID1)                 5656         56            24         31    23   2    0    0    0       69.68            5.56              100.00         
  bin.55              root (UID1)                 5656         56            24         24    27   5    0    0    0       68.39           16.67              20.00          
  bin.31              root (UID1)                 5656         56            24         15    32   9    0    0    0       66.46           15.72              55.56          
  bin.17              root (UID1)                 5656         56            24         25    22   8    1    0    0       66.38           31.48              36.36          
  bin.32              root (UID1)                 5656         56            24         34    21   1    0    0    0       66.24            4.17              100.00         
  bin.2            k__Archaea (UID2)              207         149           107         45    28   30   15   9    22      65.58           99.79               1.49          
  bin.20              root (UID1)                 5656         56            24         34    22   0    0    0    0       58.80            0.00               0.00          
  bin.8               root (UID1)                 5656         56            24         30    15   7    3    1    0       58.68           55.56              31.82          
  bin.1           k__Bacteria (UID203)            5449        104            58         31    15   12   11   13   22      58.31           102.01              3.65          
  bin.61       o__Clostridiales (UID1120)         304         250           143        127   121   2    0    0    0       55.21            0.93              50.00          
  bin.23              root (UID1)                 5656         56            24         32    23   1    0    0    0       53.91            0.46               0.00          
  bin.80              root (UID1)                 5656         56            24         26    26   4    0    0    0       47.49            9.32               0.00          
  bin.3               root (UID1)                 5656         56            24         27    19   9    1    0    0       46.57           13.49               0.00          
  bin.51              root (UID1)                 5656         56            24         37    19   0    0    0    0       45.95            0.00               0.00          
  bin.28              root (UID1)                 5656         56            24         44    12   0    0    0    0       44.79            0.00               0.00          
  bin.65              root (UID1)                 5656         56            24         37    16   2    1    0    0       41.57           16.67              60.00          
  bin.69              root (UID1)                 5656         56            24         40    15   1    0    0    0       37.73            4.17               0.00          
  bin.30              root (UID1)                 5656         56            24         48    8    0    0    0    0       33.33            0.00               0.00          
  bin.86              root (UID1)                 5656         56            24         30    21   5    0    0    0       32.89            3.65              60.00          
  bin.82              root (UID1)                 5656         56            24         41    14   1    0    0    0       30.30            4.17               0.00          
  bin.95              root (UID1)                 5656         56            24         29    26   1    0    0    0       28.04            0.38              100.00         
  bin.91              root (UID1)                 5656         56            24         42    8    5    1    0    0       26.39            6.13              75.00          
  bin.88              root (UID1)                 5656         56            24         47    9    0    0    0    0       25.93            0.00               0.00          
