----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.7       o__Actinomycetales (UID2014)         33         350           203         0    345   5    0    0    0       100.00           0.79              14.29          
  bin.59    c__Alphaproteobacteria (UID3422)       26         529           308         0    523   6    0    0    0       100.00           1.95              50.00          
  bin.4           k__Bacteria (UID203)            5449        104            58         0     42   31   29   2    0       100.00          130.28             40.00          
  bin.12      o__Burkholderiales (UID4000)        193         427           214         0    416   11   0    0    0       100.00           3.44               0.00          
  bin.10      o__Burkholderiales (UID4002)        107         569           249         0    561   8    0    0    0       100.00           1.58               0.00          
  bin.13       f__Rhizobiaceae (UID3591)           50         838           326         1    827   10   0    0    0       99.94            1.08               0.00          
  bin.36    c__Alphaproteobacteria (UID3422)       26         529           308         1    508   18   1    0    1       99.92            4.68               2.04          
  bin.27     f__Burkholderiaceae (UID4003)         91         596           218         3    590   3    0    0    0       99.88            0.54               0.00          
  bin.62     f__Bradyrhizobiaceae (UID3695)        47         693           296         2    691   0    0    0    0       99.80            0.00               0.00          
  bin.41      o__Burkholderiales (UID4000)        193         427           214         1    420   6    0    0    0       99.77            0.87              50.00          
  bin.16       f__Rhizobiaceae (UID3564)           78         840           354         2    829   8    0    1    0       99.66            1.15              14.29          
  bin.61     f__Flavobacteriaceae (UID2817)        81         511           283         1    507   3    0    0    0       99.65            0.35               0.00          
  bin.49     f__Flavobacteriaceae (UID2817)        81         511           283         1    508   2    0    0    0       99.65            0.25               0.00          
  bin.51     o__Sphingomonadales (UID3310)         26         569           293         2    552   14   1    0    0       99.57            3.43               0.00          
  bin.19     f__Streptomycetaceae (UID2048)        60         460           233         1    455   4    0    0    0       99.57            0.16              33.33          
  bin.32      o__Pseudomonadales (UID4488)        185         813           308         6    776   31   0    0    0       99.52            3.35              41.94          
  bin.34        o__Rhizobiales (UID3447)          356         408           244         4    400   4    0    0    0       99.44            1.43               0.00          
  bin.46     f__Burkholderiaceae (UID4003)         91         596           218         7    586   3    0    0    0       99.38            0.92              33.33          
  bin.52        o__Rhizobiales (UID3654)           92         481           319         2    478   1    0    0    0       99.37            0.16              100.00         
  bin.50    c__Alphaproteobacteria (UID3422)       26         529           308         3    505   21   0    0    0       99.35            4.55               0.00          
  bin.45     f__Flavobacteriaceae (UID2817)        81         511           283         25   481   5    0    0    0       99.34            0.29              80.00          
  bin.14      o__Actinomycetales (UID1696)        455         315           190         2    307   6    0    0    0       98.95            1.83               0.00          
  bin.35      o__Burkholderiales (UID4105)         54         553           264         13   528   11   1    0    0       98.77            2.11              92.86          
  bin.54    c__Gammaproteobacteria (UID4444)      263         507           232         5    496   6    0    0    0       98.62            1.75               0.00          
  bin.20     f__Streptomycetaceae (UID2048)        60         460           233         15   442   3    0    0    0       98.59            0.19              50.00          
  bin.23       g__Burkholderia (UID4006)           64         769           248         37   705   27   0    0    0       98.56            3.23              81.48          
  bin.37      o__Pseudomonadales (UID4488)        185         813           308         30   776   7    0    0    0       98.52            0.69              57.14          
  bin.6        g__Burkholderia (UID4006)           64         769           248         9    738   22   0    0    0       98.37            3.02              13.64          
  bin.3           k__Bacteria (UID203)            5449        104            58         7     23   49   23   2    0       98.20           111.36             11.54          
  bin.31          k__Bacteria (UID203)            5449        104            58         3     83   9    9    0    0       97.96            4.42               8.33          
  bin.28        g__Pseudomonas (UID4550)           78         1044          368         60   963   21   0    0    0       97.68            1.25              71.43          
  bin.42      o__Burkholderiales (UID4105)         54         553           264         14   531   8    0    0    0       97.56            1.39              25.00          
  bin.48       o__Cytophagales (UID2938)           28         439           266         13   424   2    0    0    0       97.20            0.47               0.00          
  bin.26      o__Actinomycetales (UID1696)        455         315           190         8    299   8    0    0    0       97.11            1.69              12.50          
  bin.15        o__Rhizobiales (UID3450)          238         513           244         16   477   18   2    0    0       96.93            2.90              25.00          
  bin.18       g__Burkholderia (UID4006)           64         769           248         27   719   23   0    0    0       96.75            3.43              13.04          
  bin.11       g__Streptomyces (UID2055)           49         577           284         20   550   7    0    0    0       96.66            1.46              12.50          
  bin.22      g__Bradyrhizobium (UID3699)          37         824           336         60   739   25   0    0    0       96.65            4.54              80.00          
  bin.44      o__Burkholderiales (UID4002)        107         573           251         31   517   24   1    0    0       96.60            5.50              59.26          
  bin.21        o__Rhizobiales (UID3450)          238         513           244         31   469   13   0    0    0       96.05            2.04              30.77          
  bin.29        g__Pseudomonas (UID4550)           78         1044          368         86   945   13   0    0    0       95.96            1.15              61.54          
