---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.61    f__Bradyrhizobiaceae (UID3695)        47         693           296         2    685    6    0    0   0       99.80            0.55              16.67          
  bin.15    f__Flavobacteriaceae (UID2817)        81         511           283         1    480    30   0    0   0       99.65            5.48              20.00          
  bin.35    o__Sphingomonadales (UID3310)         26         569           293         4    547    17   1    0   0       99.52            3.68               0.00          
  bin.65       o__Rhizobiales (UID3447)          356         408           244         13   379    16   0    0   0       99.16            5.00               6.25          
  bin.50   c__Alphaproteobacteria (UID3422)       26         529           308         5    514    9    1    0   0       98.97            3.25              41.67          
  bin.63     o__Burkholderiales (UID4002)        107         569           249         24   493    51   1    0   0       97.83            7.91              29.63          
  bin.38     g__Bradyrhizobium (UID3699)          37         824           336         38   725    60   1    0   0       96.89            6.94              84.13          
  bin.42     o__Actinomycetales (UID2014)         33         350           203         21   325    4    0    0   0       96.75            1.23              25.00          
  bin.60   c__Gammaproteobacteria (UID4444)      263         507           232         36   461    10   0    0   0       96.30            3.14              20.00          
  bin.77       o__Rhizobiales (UID3654)           92         481           319         29   442    10   0    0   0       96.20            1.75              60.00          
  bin.37   c__Alphaproteobacteria (UID3422)       26         529           308         18   486    23   1    0   1       96.19            6.17              14.89          
  bin.55    f__Flavobacteriaceae (UID2817)        81         511           283         23   454    33   1    0   0       95.38            6.39              83.33          
  bin.51      o__Cytophagales (UID2938)           28         439           266         52   381    6    0    0   0       95.12            1.39              33.33          
  bin.45     o__Burkholderiales (UID4000)        193         427           214         25   346    52   4    0   0       95.05           11.80              43.75          
  bin.76   c__Deltaproteobacteria (UID3216)       83         247           155         9    228    9    1    0   0       94.84            6.47               0.00          
  bin.54      g__Burkholderia (UID4006)           64         769           248         67   641    60   1    0   0       94.82            8.67              33.33          
  bin.26     o__Actinomycetales (UID1696)        455         315           190         18   286    11   0    0   0       94.23            3.82               9.09          
  bin.47    f__Burkholderiaceae (UID4003)         91         596           218         69   450    64   11   2   0       93.97           15.51              37.61          
  bin.24      f__Rhizobiaceae (UID3591)           50         838           326         58   708    70   2    0   0       93.79            8.03              32.89          
  bin.10     o__Burkholderiales (UID4000)        193         427           214         34   368    25   0    0   0       93.43            5.73              16.00          
  bin.11    f__Streptomycetaceae (UID2048)        60         460           233         36   354    68   2    0   0       92.96           15.70              51.35          
  bin.79     o__Burkholderiales (UID4000)        193         427           214         50   346    28   3    0   0       91.29            8.21              54.05          
  bin.71    f__Streptomycetaceae (UID2048)        60         460           233         66   350    42   2    0   0       91.16            9.49              39.58          
  bin.48      f__Rhizobiaceae (UID3564)           78         840           354         87   731    21   0    1   0       90.82            3.06              25.93          
  bin.80     o__Burkholderiales (UID4002)        107         573           251         96   441    34   2    0   0       90.81            7.79              47.50          
  bin.25    f__Flavobacteriaceae (UID2817)        81         511           283         89   412    10   0    0   0       90.79            1.64              90.00          
  bin.5      g__Bradyrhizobium (UID3699)          37         824           336        110   689    25   0    0   0       90.41            3.64              68.00          
  bin.1      o__Actinomycetales (UID1696)        455         315           190         43   255    17   0    0   0       89.63            6.25              29.41          
  bin.28     o__Pseudomonadales (UID4488)        185         813           308        135   558   115   5    0   0       89.44           15.14              63.08          
  bin.49     o__Burkholderiales (UID4105)         54         553           264         97   409    45   1    1   0       89.01           10.66              55.56          
  bin.19    f__Xanthomonadaceae (UID4214)         55         659           290         96   511    52   0    0   0       88.28            7.33              48.08          
  bin.34    f__Burkholderiaceae (UID4003)         91         596           218        109   454    33   0    0   0       87.31            6.06              42.42          
