-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.7              root (UID1)                 5656         56            24         0     54   2    0   0   0       100.00           2.78               0.00          
  bin.54     o__Burkholderiales (UID4000)        193         427           214         0    424   3    0   0   0       100.00           0.55               0.00          
  bin.4    c__Alphaproteobacteria (UID3422)       26         529           308         0    522   7    0   0   0       100.00           2.27              57.14          
  bin.61   c__Alphaproteobacteria (UID3422)       26         529           308         1    517   9    1   0   1       99.92            3.27               2.50          
  bin.76    f__Bradyrhizobiaceae (UID3695)        47         693           296         2    691   0    0   0   0       99.80            0.00               0.00          
  bin.19     g__Bradyrhizobium (UID3699)          37         824           336         21   800   3    0   0   0       99.80            0.37              33.33          
  bin.84     o__Burkholderiales (UID4000)        193         427           214         1    420   6    0   0   0       99.77            1.08              50.00          
  bin.48       o__Rhizobiales (UID3450)          238         513           244         3    494   15   1   0   0       99.73            2.63              11.11          
  bin.36    f__Streptomycetaceae (UID2048)        60         460           233         3    453   4    0   0   0       99.71            0.11              75.00          
  bin.21     g__Bradyrhizobium (UID3699)          37         824           336         3    819   2    0   0   0       99.65            0.31              50.00          
  bin.39    f__Flavobacteriaceae (UID2817)        81         511           283         1    507   3    0   0   0       99.65            0.35               0.00          
  bin.3     o__Sphingomonadales (UID3310)         26         569           293         2    552   14   1   0   0       99.57            3.43               0.00          
  bin.17       o__Rhizobiales (UID3447)          356         408           244         4    400   4    0   0   0       99.44            1.43               0.00          
  bin.55       o__Rhizobiales (UID3654)           92         481           319         2    478   1    0   0   0       99.37            0.02               0.00          
  bin.11     o__Actinomycetales (UID1696)        455         315           190         3    306   6    0   0   0       99.37            2.28               0.00          
  bin.41    f__Flavobacteriaceae (UID2817)        81         511           283         29   474   8    0   0   0       99.34            1.54              50.00          
  bin.77     o__Pseudomonadales (UID4488)        185         813           308         51   756   6    0   0   0       99.26            0.46              33.33          
  bin.52     o__Burkholderiales (UID4002)        107         569           249         16   546   7    0   0   0       99.20            0.97              14.29          
  bin.20   c__Alphaproteobacteria (UID3422)       26         529           308         4    507   18   0   0   0       99.11            3.84              11.11          
  bin.63      f__Rhizobiaceae (UID3591)           50         838           326         22   807   9    0   0   0       99.02            1.04               0.00          
  bin.57     o__Burkholderiales (UID4002)        107         573           251         36   515   22   0   0   0       98.72            3.76              68.18          
  bin.29     o__Burkholderiales (UID4105)         54         553           264         19   527   7    0   0   0       98.64            1.58              28.57          
  bin.69    f__Burkholderiaceae (UID4003)         91         596           218         33   561   2    0   0   0       98.58            0.31               0.00          
  bin.33      g__Burkholderia (UID4006)           64         769           248         30   722   16   1   0   0       98.49            1.96               5.26          
  bin.23    f__Xanthomonadaceae (UID4214)         55         659           290         32   618   7    2   0   0       98.49            1.72               0.00          
  bin.72      g__Burkholderia (UID4006)           64         769           248         42   725   2    0   0   0       98.43            0.07               0.00          
  bin.71      g__Burkholderia (UID4006)           64         769           248         22   743   4    0   0   0       98.29            0.60               0.00          
  bin.60    f__Streptomycetaceae (UID2048)        60         460           233         32   426   2    0   0   0       98.28            0.50              50.00          
  bin.27     o__Burkholderiales (UID4105)         54         553           264         37   510   6    0   0   0       97.95            1.02              66.67          
  bin.12    f__Flavobacteriaceae (UID2817)        81         511           283         22   482   7    0   0   0       97.87            0.92              71.43          
  bin.75     o__Pseudomonadales (UID4488)        185         813           308         44   765   4    0   0   0       97.57            0.41              25.00          
  bin.46   c__Gammaproteobacteria (UID4444)      263         507           232         54   450   3    0   0   0       97.25            1.01               0.00          
  bin.16     o__Actinomycetales (UID1696)        455         315           190         8    304   3    0   0   0       97.11            1.32               0.00          
  bin.65    f__Burkholderiaceae (UID4003)         91         596           218         54   536   6    0   0   0       96.74            1.35              33.33          
  bin.30       o__Rhizobiales (UID3450)          238         513           244         42   466   5    0   0   0       96.03            0.31               0.00          
  bin.34    f__Pseudomonadaceae (UID4490)        183         845           321         77   733   35   0   0   0       96.03            3.99              74.29          
  bin.53      o__Cytophagales (UID2938)           28         439           266         19   419   1    0   0   0       95.95            0.04               0.00          
  bin.10       o__Rhizobiales (UID3447)          356         408           244         48   355   5    0   0   0       95.21            1.54               0.00          
  bin.88      g__Streptomyces (UID2055)           49         577           284         50   521   6    0   0   0       95.13            1.45              16.67          
  bin.87       o__Rhizobiales (UID3449)          345         430           257         50   374   6    0   0   0       94.65            1.76               0.00          
  bin.68     o__Burkholderiales (UID4002)        107         573           251         62   488   23   0   0   0       94.44            3.86              52.17          
  bin.37   c__Deltaproteobacteria (UID3216)       83         247           155         10   227   9    1   0   0       94.19            6.47               0.00          
  bin.32    f__Xanthomonadaceae (UID4214)         55         659           290         84   550   24   1   0   0       93.78            4.24              74.07          
  bin.42    f__Burkholderiaceae (UID4003)         91         596           218         45   544   7    0   0   0       88.96            1.24              28.57          
  bin.62     o__Burkholderiales (UID4002)        107         574           251         96   451   27   0   0   0       88.90            3.98              33.33          
  bin.25      f__Rhizobiaceae (UID3563)           81         808           337        127   649   32   0   0   0       87.13            4.20              71.88          
  bin.5     f__Xanthomonadaceae (UID4214)         55         659           290         94   542   23   0   0   0       86.74            4.40              78.26          
  bin.31     o__Burkholderiales (UID4000)        193         426           213        100   312   14   0   0   0       78.11            3.02              64.29          
  bin.13             root (UID1)                 5656         56            24         21    35   0    0   0   0       77.27            0.00               0.00          
  bin.15     o__Burkholderiales (UID4105)         54         553           264        155   390   8    0   0   0       76.94            2.20              75.00          
  bin.81     o__Burkholderiales (UID4105)         54         553           264        179   366   8    0   0   0       73.04            1.96              25.00          
  bin.56         k__Bacteria (UID203)            5449        104            58         56    47   1    0   0   0       72.41            0.86               0.00          
  bin.51         k__Bacteria (UID203)            5449        103            57         57    46   0    0   0   0       72.28            0.00               0.00          
  bin.35         k__Bacteria (UID203)            5449        104            58         52    51   1    0   0   0       70.45            1.72              100.00         
  bin.79     o__Burkholderiales (UID4000)        193         427           214        123   299   5    0   0   0       68.92            0.92              20.00          
  bin.22             root (UID1)                 5656         56            24         41    15   0    0   0   0       58.33            0.00               0.00          
  bin.2          k__Bacteria (UID203)            5449        102            57         72    30   0    0   0   0       50.44            0.00               0.00          
  bin.86         k__Bacteria (UID203)            5449        104            58         78    26   0    0   0   0       43.10            0.00               0.00          
  bin.83         k__Bacteria (UID203)            5449        104            58         80    24   0    0   0   0       38.79            0.00               0.00          
  bin.78         k__Bacteria (UID203)            5449        104            58         75    29   0    0   0   0       35.58            0.00               0.00          
  bin.59         k__Bacteria (UID203)            5449        104            58         85    19   0    0   0   0       27.59            0.00               0.00          
  bin.73             root (UID1)                 5656         56            24         52    4    0    0   0   0       16.67            0.00               0.00          
  bin.67         k__Bacteria (UID203)            5449        103            57         95    8    0    0   0   0       11.40            0.00               0.00          
  bin.85             root (UID1)                 5656         56            24         55    1    0    0   0   0        4.17            0.00               0.00          
  bin.47             root (UID1)                 5656         56            24         55    1    0    0   0   0        4.17            0.00               0.00          
  bin.49         k__Bacteria (UID203)            5449        104            58         97    7    0    0   0   0        1.10            0.00               0.00          
  bin.9              root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.89             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.82             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.80             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.8              root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.74             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.70             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.66             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.64             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.6              root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.58             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.50             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.45             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.44             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.43             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.40             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.38             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.28             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.26             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.24             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.18             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.14             root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.1              root (UID1)                 5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
