----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.96         k__Bacteria (UID203)            5449        103            57         0     84    19   0    0    0       100.00           8.77              89.47          
  bin.95     g__Bradyrhizobium (UID3699)          37         824           336         0    824    0    0    0    0       100.00           0.00               0.00          
  bin.92     o__Actinomycetales (UID2014)         33         350           203         0    349    1    0    0    0       100.00           0.08               0.00          
  bin.83     o__Burkholderiales (UID4000)        193         427           214         0    424    3    0    0    0       100.00           0.55               0.00          
  bin.81             root (UID1)                 5656         56            24         0     0     26   15   14   1       100.00          230.30             94.71          
  bin.77   c__Alphaproteobacteria (UID3422)       26         529           308         0    522    7    0    0    0       100.00           2.27              57.14          
  bin.74         k__Bacteria (UID203)            5449        104            58         0     92    12   0    0    0       100.00           3.45              75.00          
  bin.57    f__Pseudomonadaceae (UID4490)        183         844           320         0    837    7    0    0    0       100.00           0.96               0.00          
  bin.20             root (UID1)                 5656         56            24         0     0     0    0    55   1       100.00          300.38             99.71          
  bin.19     o__Burkholderiales (UID4000)        193         427           214         0    420    5    2    0    0       100.00           1.92              54.55          
  bin.1    c__Gammaproteobacteria (UID4444)      263         507           232         0    503    4    0    0    0       100.00           1.10               0.00          
  bin.42    f__Xanthomonadaceae (UID4214)         55         659           290         1    656    2    0    0    0       99.95            0.69               0.00          
  bin.75     o__Burkholderiales (UID4002)        107         573           251         1    568    4    0    0    0       99.95            1.02               0.00          
  bin.7      g__Bradyrhizobium (UID3699)          37         824           336         2    821    1    0    0    0       99.95            0.30               0.00          
  bin.22     o__Burkholderiales (UID4002)        107         574           251         1    562    11   0    0    0       99.94            2.32               9.09          
  bin.26      f__Rhizobiaceae (UID3591)           50         838           326         1    828    9    0    0    0       99.94            1.04               0.00          
  bin.64     o__Burkholderiales (UID4105)         54         553           264         1    548    4    0    0    0       99.94            0.90               0.00          
  bin.88   c__Alphaproteobacteria (UID3422)       26         529           308         1    517    9    1    0    1       99.92            3.27               2.50          
  bin.28       o__Rhizobiales (UID3450)          238         513           244         1    508    4    0    0    0       99.92            0.28               0.00          
  bin.4     f__Streptomycetaceae (UID2048)        60         460           233         1    456    1    2    0    0       99.89            1.79              28.57          
  bin.61    f__Burkholderiaceae (UID4003)         91         596           218         2    592    2    0    0    0       99.89            0.69               0.00          
  bin.39     o__Burkholderiales (UID4105)         54         553           264         2    549    2    0    0    0       99.87            0.76              50.00          
  bin.76    f__Streptomycetaceae (UID2048)        60         460           233         1    459    0    0    0    0       99.86            0.00               0.00          
  bin.36       o__Rhizobiales (UID3449)          345         430           257         1    429    0    0    0    0       99.81            0.00               0.00          
  bin.3     f__Bradyrhizobiaceae (UID3695)        47         693           296         2    691    0    0    0    0       99.80            0.00               0.00          
  bin.30     o__Burkholderiales (UID4105)         54         553           264         2    546    5    0    0    0       99.78            1.16               0.00          
  bin.84    f__Xanthomonadaceae (UID4214)         55         659           290         2    655    2    0    0    0       99.78            0.69               0.00          
  bin.43     o__Burkholderiales (UID4000)        193         427           214         1    421    5    0    0    0       99.77            0.85              40.00          
  bin.86       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0    0    0       99.73            0.45               0.00          
  bin.90       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0    0    0       99.66            0.82               0.00          
  bin.72    f__Flavobacteriaceae (UID2817)        81         511           283         1    508    2    0    0    0       99.65            0.25               0.00          
  bin.23    f__Flavobacteriaceae (UID2817)        81         511           283         1    507    3    0    0    0       99.65            0.35               0.00          
  bin.62      o__Cytophagales (UID2938)           28         439           266         1    438    0    0    0    0       99.62            0.00               0.00          
  bin.78       g__Pseudomonas (UID4550)           78         1044          368         5    1035   4    0    0    0       99.58            0.61               0.00          
  bin.24    o__Sphingomonadales (UID3310)         26         569           293         2    552    14   1    0    0       99.57            3.43               0.00          
  bin.55     o__Burkholderiales (UID4105)         54         553           264         3    549    1    0    0    0       99.56            0.02               0.00          
  bin.13      f__Rhizobiaceae (UID3563)           81         808           337         2    802    4    0    0    0       99.55            0.26               0.00          
  bin.33     o__Burkholderiales (UID4002)        107         573           251         2    565    6    0    0    0       99.55            0.99               0.00          
  bin.56     o__Burkholderiales (UID4000)        193         427           214         1    418    8    0    0    0       99.53            3.06              62.50          
  bin.87   c__Alphaproteobacteria (UID3422)       26         529           308         2    516    11   0    0    0       99.51            2.71               0.00          
  bin.58      g__Burkholderia (UID4006)           64         769           248         2    763    4    0    0    0       99.50            0.60               0.00          
  bin.60     o__Actinomycetales (UID1696)        455         315           190         1    309    5    0    0    0       99.47            1.75               0.00          
  bin.15       o__Rhizobiales (UID3447)          356         408           244         4    400    4    0    0    0       99.44            1.43               0.00          
  bin.70       g__Pseudomonas (UID4576)           50         1090          364         3    1083   4    0    0    0       99.38            0.54               0.00          
  bin.89       o__Rhizobiales (UID3654)           92         481           319         2    479    0    0    0    0       99.37            0.00               0.00          
  bin.37     o__Pseudomonadales (UID4488)        185         813           308         20   790    3    0    0    0       99.35            0.30               0.00          
  bin.25     o__Burkholderiales (UID4002)        107         569           249         16   547    6    0    0    0       99.20            0.77               0.00          
  bin.8     f__Xanthomonadaceae (UID4214)         55         659           290         5    653    1    0    0    0       99.20            0.04               0.00          
  bin.18      g__Burkholderia (UID4006)           64         769           248         4    759    6    0    0    0       99.19            0.59               0.00          
  bin.47       o__Rhizobiales (UID3447)          356         408           244         3    403    2    0    0    0       99.14            0.25               0.00          
  bin.93       o__Rhizobiales (UID3450)          238         513           244         21   480    12   0    0    0       99.10            1.54               0.00          
  bin.67      f__Rhizobiaceae (UID3564)           78         840           354         22   810    7    0    1    0       99.10            1.14               7.69          
  bin.79     o__Pseudomonadales (UID4488)        185         813           308         51   759    3    0    0    0       99.03            0.20               0.00          
