-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.9           k__Bacteria (UID203)            5449        103            57         0     16    71   16   0    0       100.00          115.79             100.00         
  bin.8               root (UID1)                 5656         56            24         0     0     0    0    56   0       100.00          300.00             100.00         
  bin.74    c__Alphaproteobacteria (UID3422)       26         529           308         0    522    7    0    0    0       100.00           2.27              57.14          
  bin.7               root (UID1)                 5656         56            24         0     0     0    0    0    56      100.00          518.92             28.49          
  bin.67    c__Gammaproteobacteria (UID4444)      263         507           232         0    503    4    0    0    0       100.00           1.10               0.00          
  bin.6               root (UID1)                 5656         56            24         0     0     0    1    12   43      100.00          431.82             90.78          
  bin.51      o__Pseudomonadales (UID4488)        185         813           308         0    810    3    0    0    0       100.00           0.20               0.00          
  bin.49       o__Cytophagales (UID2938)           28         439           266         0    439    0    0    0    0       100.00           0.00               0.00          
  bin.36     f__Pseudomonadaceae (UID4490)        183         844           320         0    837    7    0    0    0       100.00           0.96               0.00          
  bin.3               root (UID1)                 5656         56            24         0     0     0    0    0    56      100.00         1240.91             21.10          
  bin.29     f__Streptomycetaceae (UID2048)        60         460           233         0    460    0    0    0    0       100.00           0.00               0.00          
  bin.26     f__Pseudomonadaceae (UID4490)        183         845           321         0    822    22   1    0    0       100.00           4.55              92.00          
  bin.23      o__Burkholderiales (UID4000)        193         427           214         0    424    3    0    0    0       100.00           0.55               0.00          
  bin.15      o__Actinomycetales (UID2014)         33         350           203         0    349    1    0    0    0       100.00           0.08               0.00          
  bin.13          k__Bacteria (UID203)            5449        104            58         0     62    42   0    0    0       100.00          25.86              66.67          
  bin.11              root (UID1)                 5656         56            24         0     0     56   0    0    0       100.00          100.00             51.79          
  bin.44      o__Burkholderiales (UID4002)        107         573           251         1    565    7    0    0    0       99.95            1.62               0.00          
  bin.41     f__Burkholderiaceae (UID4003)         91         596           218         1    594    1    0    0    0       99.94            0.08               0.00          
  bin.28        o__Rhizobiales (UID3450)          238         513           244         1    508    4    0    0    0       99.92            0.28               0.00          
  bin.19     f__Streptomycetaceae (UID2048)        60         460           233         1    456    1    2    0    0       99.89            1.79              28.57          
  bin.57     f__Burkholderiaceae (UID4003)         91         596           218         2    583    11   0    0    0       99.89            1.41              81.82          
  bin.42        g__Pseudomonas (UID4550)           78         1044          368         3    1037   4    0    0    0       99.85            0.61               0.00          
  bin.47        o__Rhizobiales (UID3449)          345         430           257         1    428    1    0    0    0       99.81            0.13               0.00          
  bin.38     f__Xanthomonadaceae (UID4214)         55         659           290         2    651    4    2    0    0       99.80            1.67               0.00          
  bin.14       g__Burkholderia (UID4006)           64         769           248         2    752    15   0    0    0       99.80            1.80               0.00          
  bin.71     f__Xanthomonadaceae (UID4214)         55         659           290         2    655    2    0    0    0       99.78            0.69               0.00          
  bin.45      o__Burkholderiales (UID4000)        193         427           214         1    421    5    0    0    0       99.77            0.85              40.00          
  bin.58      o__Burkholderiales (UID4105)         54         553           264         2    550    1    0    0    0       99.75            0.02               0.00          
  bin.78     f__Flavobacteriaceae (UID2817)        81         511           283         1    507    3    0    0    0       99.65            0.35               0.00          
  bin.59     f__Flavobacteriaceae (UID2817)        81         511           283         1    510    0    0    0    0       99.65            0.00               0.00          
  bin.54     f__Flavobacteriaceae (UID2817)        81         511           283         1    499    11   0    0    0       99.65            2.32              36.36          
  bin.21       f__Rhizobiaceae (UID3564)           78         840           354         3    829    7    0    1    0       99.63            1.14               7.69          
  bin.40      o__Burkholderiales (UID4105)         54         553           264         4    546    3    0    0    0       99.62            0.76              66.67          
  bin.35       g__Burkholderia (UID4006)           64         769           248         1    767    1    0    0    0       99.60            0.40               0.00          
  bin.64     o__Sphingomonadales (UID3310)         26         569           293         2    552    14   1    0    0       99.57            3.43               0.00          
  bin.56      o__Burkholderiales (UID4105)         54         553           264         3    525    25   0    0    0       99.56            5.26               4.00          
