----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.97             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.95             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.94             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.92             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.91             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.9              root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.86             root (UID1)                 5656         56            24         0     55    1    0    0    0       100.00           1.04               0.00          
  bin.84             root (UID1)                 5656         56            24         0     44    12   0    0    0       100.00           8.33              75.00          
  bin.82             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.81             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.80             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.79             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.76             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.75             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.72             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.71             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.70             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.69             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.65             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.60             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.59             root (UID1)                 5656         56            24         0     0     22   11   22   1       100.00          228.12             96.95          
  bin.55             root (UID1)                 5656         56            24         0     40    16   0    0    0       100.00          20.83               6.25          
  bin.54             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.53             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.49             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.46             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.44             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.41             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.4              root (UID1)                 5656         56            24         0     55    1    0    0    0       100.00           4.17              100.00         
  bin.39             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.36             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
  bin.35             root (UID1)                 5656         56            24         0     56    0    0    0    0       100.00           0.00               0.00          
