  Bin Id             Marker lineage            # genomes   # markers   # marker sets    0     1     2     3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.7       o__Actinomycetales (UID2014)         33         350           203         0    349    1     0    0    0       100.00           0.08               0.00          
  bin.60    c__Alphaproteobacteria (UID3422)       26         529           308         0    522    7     0    0    0       100.00           2.27              57.14          
  bin.55    c__Gammaproteobacteria (UID4444)      263         507           232         0    498    9     0    0    0       100.00           1.98              22.22          
  bin.22     f__Streptomycetaceae (UID2048)        60         460           233         0    455    5     0    0    0       100.00           0.18              80.00          
  bin.12      o__Burkholderiales (UID4002)        107         569           249         0    562    7     0    0    0       100.00           0.97              14.29          
  bin.11      o__Burkholderiales (UID4000)        193         427           214         0    417    10    0    0    0       100.00           2.70               0.00          
  bin.4         o__Rhizobiales (UID3447)          356         408           244         1     86   152   144   21   4       99.99           143.00             34.27          
  bin.14       f__Rhizobiaceae (UID3591)           50         838           326         1    827    10    0    0    0       99.94            1.08               0.00          
  bin.37    c__Alphaproteobacteria (UID3422)       26         529           308         1    516    10    1    0    1       99.92            3.43               2.44          
  bin.8       g__Bradyrhizobium (UID3699)          37         824           336         4    816    4     0    0    0       99.92            0.38              25.00          
  bin.38      o__Pseudomonadales (UID4488)        185         813           308         8    798    7     0    0    0       99.89            0.47              42.86          
  bin.17        o__Rhizobiales (UID3450)          238         513           244         2    495    15    1    0    0       99.84            2.63              11.11          
  bin.33      o__Pseudomonadales (UID4488)        185         813           308         4    784    25    0    0    0       99.82            4.18              16.00          
  bin.42      o__Burkholderiales (UID4000)        193         427           214         1    420    6     0    0    0       99.77            1.08              50.00          
  bin.18       f__Rhizobiaceae (UID3564)           78         840           354         2    830    7     0    1    0       99.66            1.14               7.69          
  bin.24      g__Bradyrhizobium (UID3699)          37         824           336         3    819    2     0    0    0       99.65            0.31              50.00          
  bin.61     f__Flavobacteriaceae (UID2817)        81         511           283         1    507    3     0    0    0       99.65            0.35               0.00          
  bin.39      o__Burkholderiales (UID4002)        107         573           251         7    543    23    0    0    0       99.64            3.78              69.57          
  bin.50     f__Flavobacteriaceae (UID2817)        81         511           283         3    499    9     0    0    0       99.63            1.56              44.44          
  bin.53     o__Sphingomonadales (UID3310)         26         569           293         2    552    14    1    0    0       99.57            3.43               0.00          
  bin.6        g__Burkholderia (UID4006)           64         769           248         4    749    16    0    0    0       99.53            1.84               6.25          
  bin.20       g__Burkholderia (UID4006)           64         769           248         2    755    12    0    0    0       99.50            1.81               0.00          
  bin.62     f__Bradyrhizobiaceae (UID3695)        47         693           296         3    690    0     0    0    0       99.47            0.00               0.00          
  bin.25       g__Burkholderia (UID4006)           64         769           248         7    758    4     0    0    0       99.46            0.50               0.00          
  bin.35        o__Rhizobiales (UID3447)          356         408           244         4    400    4     0    0    0       99.44            1.43               0.00          
  bin.47     f__Burkholderiaceae (UID4003)         91         596           218         3    586    7     0    0    0       99.43            1.37              28.57          
  bin.27     f__Burkholderiaceae (UID4003)         91         596           218         4    588    4     0    0    0       99.42            0.57              25.00          
  bin.54        o__Rhizobiales (UID3654)           92         481           319         2    478    1     0    0    0       99.37            0.02               0.00          
  bin.16      o__Actinomycetales (UID1696)        455         315           190         3    306    6     0    0    0       99.37            2.28               0.00          
  bin.9     c__Alphaproteobacteria (UID3305)      564         345           228         6    243    93    3    0    0       99.22           31.77               0.98          
  bin.21     f__Streptomycetaceae (UID2048)        60         460           233         6    450    4     0    0    0       99.14            0.82              75.00          
  bin.52    c__Alphaproteobacteria (UID3422)       26         529           308         4    504    21    0    0    0       99.11            4.01               9.52          
  bin.31        g__Pseudomonas (UID4550)           78         1044          368         65   961    18    0    0    0       98.83            1.59              66.67          
  bin.43      o__Burkholderiales (UID4105)         54         553           264         12   531    10    0    0    0       98.78            1.64              30.00          
  bin.30     f__Xanthomonadaceae (UID4214)         55         659           290         13   635    9     2    0    0       98.66            2.07               0.00          
  bin.23        o__Rhizobiales (UID3450)          238         513           244         24   482    7     0    0    0       98.11            0.74               0.00          
  bin.48     f__Flavobacteriaceae (UID2817)        81         511           283         19   485    7     0    0    0       97.90            0.92              71.43          
  bin.36      o__Burkholderiales (UID4105)         54         553           264         50   497    6     0    0    0       97.82            1.02              66.67          
  bin.29      o__Actinomycetales (UID1696)        455         315           190         8    298    9     0    0    0       97.11            2.67              11.11          
  bin.32        g__Pseudomonas (UID4550)           78         1044          368         61   976    7     0    0    0       96.90            0.75              14.29          
  bin.46       o__Cytophagales (UID2938)           28         439           266         14   418    7     0    0    0       96.51            0.63               0.00          
  bin.13       g__Streptomyces (UID2055)           49         577           284         21   550    6     0    0    0       96.16            1.45              16.67          
  bin.26     f__Pseudomonadaceae (UID4490)        183         845           321         63   758    23    1    0    0       96.02            3.01              65.38          
  bin.44      o__Burkholderiales (UID4002)        107         573           251         40   505    27    1    0    0       95.26            4.37              50.00          
  bin.28        g__Pseudomonas (UID4576)           50         1090          364        129   945    16    0    0    0       94.79            1.33              75.00          
  bin.3     c__Deltaproteobacteria (UID3216)       83         247           155         10   225    11    1    0    0       94.19            6.55               0.00          
  bin.45     f__Burkholderiaceae (UID4003)         91         596           218         41   546    9     0    0    0       91.66            1.81              33.33          
  bin.10      o__Burkholderiales (UID4002)        107         574           251         92   401    74    6    1    0       89.70           18.76              12.24          
  bin.40          k__Bacteria (UID203)            5449        104            58         15    64    25    0    0    0       89.40           18.26              68.00          
  bin.34        o__Rhizobiales (UID3449)          345         430           257         65   359    6     0    0    0       88.78            1.50               0.00          
  bin.51     f__Xanthomonadaceae (UID4214)         55         659           290        103   266   275    15   0    0       86.84           50.21              17.81          
  bin.49      o__Burkholderiales (UID4000)        193         426           213         81   330    15    0    0    0       82.34            3.18              60.00          
  bin.1            k__Archaea (UID2)              207         149           107         30    17    34    26   13   29      76.64           145.63              3.24          
  bin.58      o__Burkholderiales (UID4105)         54         553           264        182   357    14    0    0    0       71.45            2.23              42.86          
  bin.41          k__Bacteria (UID203)            5449        104            58         20    68    16    0    0    0       70.69            7.60              37.50          
  bin.56      o__Burkholderiales (UID4105)         54         553           264        227   293    32    1    0    0       66.45            7.60              54.29          
  bin.57          k__Bacteria (UID203)            5449        104            58         72    32    0     0    0    0       50.00            0.00               0.00          
  bin.64      o__Burkholderiales (UID4001)        108         570           250        312   256    2     0    0    0       49.86            0.80               0.00          
  bin.2           k__Bacteria (UID203)            5449        104            58         44    25    19    5    6    5       43.73           29.30               4.46          
  bin.67     f__Xanthomonadaceae (UID4214)         55         659           290        421   234    4     0    0    0       35.89            0.28              75.00          
  bin.74          k__Bacteria (UID203)            5449        103            58         83    20    0     0    0    0       27.57            0.00               0.00          
  bin.5            k__Archaea (UID2)              207         149           107        100    46    2     1    0    0       27.27            1.71               0.00          
  bin.15          k__Bacteria (UID203)            5449        104            58         84    20    0     0    0    0       25.47            0.00               0.00          
  bin.70          k__Bacteria (UID203)            5449        104            58         86    18    0     0    0    0       22.18            0.00               0.00          
  bin.81      o__Burkholderiales (UID4000)        193         427           214        321   105    1     0    0    0       21.06            0.47               0.00          
  bin.66          k__Bacteria (UID203)            5449        104            58         93    11    0     0    0    0       17.24            0.00               0.00          
  bin.69          k__Bacteria (UID203)            5449        104            58         85    19    0     0    0    0       14.20            0.00               0.00          
  bin.86          k__Bacteria (UID203)            5449        104            58         97    7     0     0    0    0       10.34            0.00               0.00          
  bin.76          k__Bacteria (UID203)            5449        104            58         97    7     0     0    0    0       10.34            0.00               0.00          
  bin.65          k__Bacteria (UID203)            5449        103            57         97    6     0     0    0    0        9.65            0.00               0.00          
  bin.19          k__Bacteria (UID203)            5449        104            58         91    13    0     0    0    0        9.17            0.00               0.00          
  bin.80          k__Bacteria (UID203)            5449        104            58        100    4     0     0    0    0        6.90            0.00               0.00          
  bin.71          k__Bacteria (UID203)            5449        104            58         99    5     0     0    0    0        6.19            0.00               0.00          
  bin.68          k__Bacteria (UID203)            5449        104            58         98    6     0     0    0    0        5.64            0.00               0.00          
  bin.84          k__Bacteria (UID203)            5449        103            57         99    4     0     0    0    0        5.26            0.00               0.00          
  bin.87              root (UID1)                 5656         56            24         55    1     0     0    0    0        4.17            0.00               0.00          
  bin.78              root (UID1)                 5656         56            24         55    1     0     0    0    0        4.17            0.00               0.00          
  bin.59              root (UID1)                 5656         56            24         55    1     0     0    0    0        4.17            0.00               0.00          
  bin.90          k__Bacteria (UID203)            5449        103            57         99    4     0     0    0    0        3.80            0.00               0.00          
  bin.89          k__Bacteria (UID203)            5449         95            49         90    5     0     0    0    0        3.77            0.00               0.00          
  bin.79          k__Bacteria (UID203)            5449        104            58        102    2     0     0    0    0        3.45            0.00               0.00          
  bin.108         k__Bacteria (UID203)            5449        104            58         93    11    0     0    0    0        3.13            0.00               0.00          
  bin.107          k__Archaea (UID2)              207         149           107        145    4     0     0    0    0        2.80            0.00               0.00          
  bin.77          k__Bacteria (UID203)            5449        104            58        102    2     0     0    0    0        1.88            0.00               0.00          
  bin.93          k__Bacteria (UID203)            5449        103            58         97    6     0     0    0    0        1.76            0.00               0.00          
  bin.96          k__Bacteria (UID203)            5449        104            58         96    8     0     0    0    0        1.25            0.00               0.00          
  bin.104          k__Archaea (UID2)              207         149           107        146    3     0     0    0    0        1.09            0.00               0.00          
