----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.95     o__Actinomycetales (UID2014)         33         350           203         0    349    1    0    0    0       100.00           0.08               0.00          
  bin.86      o__Cytophagales (UID2938)           28         439           266         0    439    0    0    0    0       100.00           0.00               0.00          
  bin.79    f__Pseudomonadaceae (UID4490)        183         845           321         0    844    1    0    0    0       100.00           0.10               0.00          
  bin.76     o__Burkholderiales (UID4000)        193         427           214         0    424    3    0    0    0       100.00           0.55               0.00          
  bin.71     o__Burkholderiales (UID4002)        107         569           249         0    563    6    0    0    0       100.00           0.77               0.00          
  bin.58             root (UID1)                 5656         56            24         0     0     26   15   12   3       100.00          231.06             94.94          
  bin.5    c__Alphaproteobacteria (UID3422)       26         529           308         0    522    7    0    0    0       100.00           2.27              57.14          
  bin.48     o__Burkholderiales (UID4000)        193         427           214         0    377    49   1    0    0       100.00          15.51              92.31          
  bin.41             root (UID1)                 5656         56            24         0     0     56   0    0    0       100.00          100.00             51.79          
  bin.4              root (UID1)                 5656         56            24         0     0     0    0    55   1       100.00          300.38             99.71          
  bin.25    f__Pseudomonadaceae (UID4490)        183         844           320         0    837    7    0    0    0       100.00           0.96               0.00          
  bin.18     o__Burkholderiales (UID4000)        193         427           214         0    420    5    2    0    0       100.00           1.92              54.55          
  bin.13   c__Gammaproteobacteria (UID4444)      263         507           232         0    503    4    0    0    0       100.00           1.10               0.00          
  bin.1          k__Bacteria (UID203)            5449        104            58         0     92    12   0    0    0       100.00           3.45              75.00          
  bin.69    f__Xanthomonadaceae (UID4214)         55         659           290         1    656    2    0    0    0       99.95            0.69               0.00          
  bin.66     o__Burkholderiales (UID4002)        107         573           251         1    568    4    0    0    0       99.95            1.02               0.00          
  bin.90     g__Bradyrhizobium (UID3699)          37         824           336         2    821    1    0    0    0       99.95            0.30               0.00          
  bin.61     o__Burkholderiales (UID4002)        107         574           251         1    562    11   0    0    0       99.94            2.32               9.09          
  bin.35      f__Rhizobiaceae (UID3591)           50         838           326         1    829    8    0    0    0       99.94            1.01               0.00          
  bin.45     o__Burkholderiales (UID4105)         54         553           264         1    548    4    0    0    0       99.94            0.72              25.00          
  bin.88   c__Alphaproteobacteria (UID3422)       26         529           308         1    517    9    1    0    1       99.92            3.27               2.50          
  bin.36       o__Rhizobiales (UID3450)          238         513           244         1    508    4    0    0    0       99.92            0.28               0.00          
  bin.94    f__Streptomycetaceae (UID2048)        60         460           233         1    456    1    2    0    0       99.89            1.79              28.57          
  bin.16    f__Burkholderiaceae (UID4003)         91         596           218         2    592    2    0    0    0       99.89            0.69               0.00          
  bin.57    f__Xanthomonadaceae (UID4214)         55         659           290         1    657    1    0    0    0       99.89            0.04               0.00          
  bin.6      o__Burkholderiales (UID4105)         54         553           264         2    543    8    0    0    0       99.87            1.52              87.50          
  bin.80    f__Streptomycetaceae (UID2048)        60         460           233         1    459    0    0    0    0       99.86            0.00               0.00          
  bin.74       o__Rhizobiales (UID3449)          345         430           257         1    429    0    0    0    0       99.81            0.00               0.00          
  bin.49    f__Xanthomonadaceae (UID4214)         55         659           290         2    651    4    2    0    0       99.80            1.67               0.00          
  bin.37     o__Burkholderiales (UID4105)         54         553           264         2    546    5    0    0    0       99.78            1.16               0.00          
  bin.83    f__Xanthomonadaceae (UID4214)         55         659           290         2    655    2    0    0    0       99.78            0.69               0.00          
  bin.40     o__Burkholderiales (UID4000)        193         427           214         1    421    5    0    0    0       99.77            0.85              40.00          
  bin.10       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0    0    0       99.73            0.45               0.00          
  bin.92       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0    0    0       99.66            0.82               0.00          
  bin.8     f__Flavobacteriaceae (UID2817)        81         511           283         1    508    2    0    0    0       99.65            0.25               0.00          
  bin.7     f__Flavobacteriaceae (UID2817)        81         511           283         1    510    0    0    0    0       99.65            0.00               0.00          
  bin.3     f__Flavobacteriaceae (UID2817)        81         511           283         1    507    3    0    0    0       99.65            0.35               0.00          
  bin.64       g__Pseudomonas (UID4550)           78         1044          368         5    1035   4    0    0    0       99.58            0.61               0.00          
  bin.20    o__Sphingomonadales (UID3310)         26         569           293         2    552    14   1    0    0       99.57            3.43               0.00          
  bin.43     o__Burkholderiales (UID4105)         54         553           264         3    549    1    0    0    0       99.56            0.02               0.00          
  bin.23     o__Burkholderiales (UID4105)         54         553           264         3    549    1    0    0    0       99.56            0.02               0.00          
  bin.11      f__Rhizobiaceae (UID3563)           81         808           337         2    802    4    0    0    0       99.55            0.26               0.00          
  bin.93     o__Burkholderiales (UID4002)        107         573           251         2    565    6    0    0    0       99.55            0.99               0.00          
  bin.56   c__Alphaproteobacteria (UID3422)       26         529           308         2    516    11   0    0    0       99.51            2.71               0.00          
  bin.96      g__Burkholderia (UID4006)           64         769           248         2    763    4    0    0    0       99.50            0.60               0.00          
  bin.39     o__Actinomycetales (UID1696)        455         315           190         1    309    5    0    0    0       99.47            1.75               0.00          
  bin.9        o__Rhizobiales (UID3447)          356         408           244         4    400    4    0    0    0       99.44            1.43               0.00          
  bin.14       g__Pseudomonas (UID4576)           50         1090          364         3    1083   4    0    0    0       99.38            0.54               0.00          
  bin.51       o__Rhizobiales (UID3654)           92         481           319         2    479    0    0    0    0       99.37            0.00               0.00          
  bin.27     o__Pseudomonadales (UID4488)        185         813           308         20   790    3    0    0    0       99.35            0.30               0.00          
  bin.26     o__Pseudomonadales (UID4488)        185         813           308         50   760    3    0    0    0       99.35            0.20               0.00          
  bin.34       o__Rhizobiales (UID3447)          356         408           244         3    403    2    0    0    0       99.14            0.25               0.00          
  bin.91       o__Rhizobiales (UID3450)          238         513           244         21   480    12   0    0    0       99.10            1.54               0.00          
  bin.54      f__Rhizobiaceae (UID3564)           78         840           354         22   810    7    0    1    0       99.10            1.14               7.69          
  bin.32      g__Burkholderia (UID4006)           64         769           248         9    754    6    0    0    0       98.79            0.59               0.00          
  bin.22      f__Rhizobiaceae (UID3563)           81         808           337         24   776    8    0    0    0       98.64            1.17               0.00          
  bin.89      g__Burkholderia (UID4006)           64         769           248         22   731    15   1    0    0       98.59            1.92               0.00          
  bin.21    f__Burkholderiaceae (UID4003)         91         596           218         21   574    1    0    0    0       98.57            0.08               0.00          
  bin.70       g__Pseudomonas (UID4550)           78         1044          368         12   1027   5    0    0    0       98.44            0.54               0.00          
  bin.68      g__Burkholderia (UID4006)           64         769           248         21   747    1    0    0    0       98.39            0.40               0.00          
  bin.84     o__Burkholderiales (UID4105)         54         553           264         19   533    1    0    0    0       97.66            0.02               0.00          
  bin.30    f__Burkholderiaceae (UID4003)         91         596           218         49   540    7    0    0    0       97.43            0.65               0.00          
  bin.52     o__Actinomycetales (UID1696)        455         315           190         8    304    3    0    0    0       97.11            1.32               0.00          
  bin.33       g__Pseudomonas (UID4576)           50         1090          364         39   1031   20   0    0    0       96.82            1.11               0.00          
  bin.15      g__Streptomyces (UID2055)           49         577           284         22   549    6    0    0    0       95.99            1.45              16.67          
  bin.59   c__Alphaproteobacteria (UID3305)      564         345           228         41   300    3    1    0    0       95.53            1.75               0.00          
  bin.47    f__Flavobacteriaceae (UID2817)        81         511           283         63   444    4    0    0    0       94.89            0.31               0.00          
  bin.12   c__Deltaproteobacteria (UID3216)       83         247           155         10   226    10   1    0    0       94.19            7.12               7.69          
  bin.82     o__Burkholderiales (UID4002)        107         574           251         99   469    6    0    0    0       85.47            0.87               0.00          
  bin.44     f__Micrococcaceae (UID1623)          39         457           218         62   394    1    0    0    0       84.20            0.15               0.00          
  bin.73     o__Burkholderiales (UID4002)        107         573           251        199   373    1    0    0    0       63.34            0.20               0.00          
  bin.2        o__Rhizobiales (UID3449)          345         431           258        161   269    1    0    0    0       61.05            0.19               0.00          
  bin.42    f__Burkholderiaceae (UID4003)         91         596           218        265   329    2    0    0    0       57.54            0.51               0.00          
  bin.65         k__Bacteria (UID203)            5449        103            57         54    27    21   1    0    0       35.09            8.85              87.50          
  bin.38         k__Bacteria (UID203)            5449        104            58         81    23    0    0    0    0       29.58            0.00               0.00          
  bin.63         k__Bacteria (UID203)            5449        104            58         79    25    0    0    0    0       27.34            0.00               0.00          
  bin.53         g__Bacillus (UID864)             93         711           241        546   163    2    0    0    0       18.84            0.04               0.00          
  bin.85   c__Deltaproteobacteria (UID3216)       83         247           155        203    43    1    0    0    0       14.89            0.65               0.00          
  bin.46         k__Bacteria (UID203)            5449        104            58         85    19    0    0    0    0       11.91            0.00               0.00          
  bin.67         k__Bacteria (UID203)            5449        104            58         94    10    0    0    0    0       10.82            0.00               0.00          
  bin.60         k__Bacteria (UID203)            5449        101            55         97    4     0    0    0    0        4.55            0.00               0.00          
  bin.50             root (UID1)                 5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  bin.29         k__Bacteria (UID203)            5449        104            58        102    2     0    0    0    0        3.45            0.00               0.00          
  bin.81    f__Burkholderiaceae (UID4003)         91         596           218        576    20    0    0    0    0        1.38            0.00               0.00          
  bin.87      g__Burkholderia (UID4006)           64         769           248        748    21    0    0    0    0        1.22            0.00               0.00          
  bin.78             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.77             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.75             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.72             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.62             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.55             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.31             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.28             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.24             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.19             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.17             root (UID1)                 5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
