-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.81             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.72             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.68             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.64             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.51             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.21             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.2              root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.19     o__Actinomycetales (UID2014)         33         350           203         0    348   2    0   0   0       100.00           0.21              50.00          
  bin.11             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.10             root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.1              root (UID1)                 5656         56            24         0     56   0    0   0   0       100.00           0.00               0.00          
  bin.14       o__Rhizobiales (UID3654)           92         481           319         2    478   1    0   0   0       99.37            0.16              100.00         
  bin.83      f__Rhizobiaceae (UID3591)           50         838           326         30   798   10   0   0   0       99.13            1.08               0.00          
  bin.59    f__Streptomycetaceae (UID2048)        60         460           233         22   437   1    0   0   0       98.95            0.05              100.00         
  bin.62     o__Burkholderiales (UID4105)         54         553           264         18   526   8    1   0   0       98.25            2.03              90.91          
  bin.26    f__Flavobacteriaceae (UID2817)        81         511           283         40   466   5    0   0   0       98.23            0.29              80.00          
  bin.37             root (UID1)                 5656         56            24         1     55   0    0   0   0       97.92            0.00               0.00          
  bin.30      g__Burkholderia (UID4006)           64         769           248         52   698   19   0   0   0       97.13            2.81              15.79          
  bin.80             root (UID1)                 5656         56            24         1     55   0    0   0   0       95.83            0.00               0.00          
  bin.31             root (UID1)                 5656         56            24         1     55   0    0   0   0       95.83            0.00               0.00          
  bin.15             root (UID1)                 5656         56            24         5     51   0    0   0   0       95.83            0.00               0.00          
  bin.76      g__Streptomyces (UID2055)           49         577           284         56   516   5    0   0   0       94.51            1.10              20.00          
  bin.8    c__Deltaproteobacteria (UID3216)       83         247           155         11   226   9    1   0   0       93.55            6.47               0.00          
  bin.63             root (UID1)                 5656         56            24         7     47   2    0   0   0       89.35            0.76              100.00         
  bin.32             root (UID1)                 5656         56            24         10    46   0    0   0   0       88.89            0.00               0.00          
  bin.77             root (UID1)                 5656         56            24         19    37   0    0   0   0       84.80            0.00               0.00          
  bin.36             root (UID1)                 5656         56            24         23    33   0    0   0   0       84.38            0.00               0.00          
  bin.73             root (UID1)                 5656         56            24         11    45   0    0   0   0       84.26            0.00               0.00          
  bin.20             root (UID1)                 5656         56            24         21    35   0    0   0   0       83.33            0.00               0.00          
  bin.52             root (UID1)                 5656         56            24         15    41   0    0   0   0       82.95            0.00               0.00          
  bin.23             root (UID1)                 5656         56            24         19    36   1    0   0   0       78.03            1.04              100.00         
  bin.78             root (UID1)                 5656         56            24         30    26   0    0   0   0       78.01            0.00               0.00          
  bin.34         k__Bacteria (UID203)            5449        103            57         54    48   1    0   0   0       77.19            1.75              100.00         
  bin.84             root (UID1)                 5656         56            24         23    33   0    0   0   0       76.52            0.00               0.00          
  bin.9    c__Alphaproteobacteria (UID3305)      564         345           228         91   249   4    1   0   0       75.46            1.97               0.00          
  bin.53             root (UID1)                 5656         56            24         25    31   0    0   0   0       74.95            0.00               0.00          
  bin.79             root (UID1)                 5656         56            24         12    44   0    0   0   0       73.61            0.00               0.00          
  bin.46             root (UID1)                 5656         56            24         29    26   1    0   0   0       73.25            4.17              100.00         
  bin.4              root (UID1)                 5656         56            24         30    25   1    0   0   0       73.15            2.08              100.00         
  bin.35             root (UID1)                 5656         56            24         31    24   1    0   0   0       71.76            4.17              100.00         
  bin.47             root (UID1)                 5656         56            24         35    21   0    0   0   0       70.83            0.00               0.00          
  bin.67             root (UID1)                 5656         56            24         31    25   0    0   0   0       70.60            0.00               0.00          
  bin.57             root (UID1)                 5656         56            24         18    38   0    0   0   0       70.45            0.00               0.00          
  bin.56             root (UID1)                 5656         56            24         28    28   0    0   0   0       67.05            0.00               0.00          
  bin.29             root (UID1)                 5656         56            24         37    19   0    0   0   0       65.62            0.00               0.00          
  bin.27             root (UID1)                 5656         56            24         37    19   0    0   0   0       65.62            0.00               0.00          
  bin.12             root (UID1)                 5656         56            24         37    18   1    0   0   0       65.62            4.17               0.00          
