---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id            Marker lineage            # genomes   # markers   # marker sets    0     1     2    3   4    5+   Completeness   Contamination   Strain heterogeneity  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.92         k__Bacteria (UID203)            5449        102            58         0     2     99   1   0    0       100.00          99.14               2.94          
  bin.82     g__Bradyrhizobium (UID3699)          37         824           336         0    824    0    0   0    0       100.00           0.00               0.00          
  bin.8      o__Burkholderiales (UID4000)        193         427           214         0    424    3    0   0    0       100.00           0.55               0.00          
  bin.72             root (UID1)                 5656         56            24         0     0     0    0   56   0       100.00          300.00             100.00         
  bin.36             root (UID1)                 5656         56            24         0     0     0    9   30   17      100.00          317.19             95.19          
  bin.21      o__Cytophagales (UID2938)           28         439           266         0    439    0    0   0    0       100.00           0.00               0.00          
  bin.20   c__Gammaproteobacteria (UID4444)      263         507           232         0    503    4    0   0    0       100.00           1.10               0.00          
  bin.17     o__Burkholderiales (UID4000)        193         427           214         0    420    5    2   0    0       100.00           1.92              54.55          
  bin.14    f__Pseudomonadaceae (UID4490)        183         844           320         0    837    7    0   0    0       100.00           0.96               0.00          
  bin.13    f__Pseudomonadaceae (UID4490)        183         845           321         0    817    28   0   0    0       100.00           5.33              96.43          
  bin.78    f__Xanthomonadaceae (UID4214)         55         659           290         1    656    2    0   0    0       99.95            0.69               0.00          
  bin.40     o__Burkholderiales (UID4002)        107         573           251         1    568    4    0   0    0       99.95            1.02               0.00          
  bin.59     g__Bradyrhizobium (UID3699)          37         824           336         2    821    1    0   0    0       99.95            0.30               0.00          
  bin.31    f__Burkholderiaceae (UID4003)         91         596           218         1    594    1    0   0    0       99.94            0.08               0.00          
  bin.96     o__Burkholderiales (UID4105)         54         553           264         1    547    5    0   0    0       99.94            1.09              20.00          
  bin.28   c__Alphaproteobacteria (UID3422)       26         529           308         1    517    9    1   0    1       99.92            3.27               2.50          
  bin.11       o__Rhizobiales (UID3450)          238         513           244         1    508    4    0   0    0       99.92            0.28               0.00          
  bin.34    f__Streptomycetaceae (UID2048)        60         460           233         1    456    1    2   0    0       99.89            1.79              28.57          
  bin.9     f__Burkholderiaceae (UID4003)         91         596           218         2    577    17   0   0    0       99.89            2.08              88.24          
  bin.27    f__Streptomycetaceae (UID2048)        60         460           233         1    459    0    0   0    0       99.86            0.00               0.00          
  bin.39       g__Pseudomonas (UID4550)           78         1044          368         3    1037   4    0   0    0       99.85            0.61               0.00          
  bin.15     o__Burkholderiales (UID4105)         54         553           264         1    547    5    0   0    0       99.81            1.16               0.00          
  bin.71       o__Rhizobiales (UID3449)          345         430           257         1    429    0    0   0    0       99.81            0.00               0.00          
  bin.67    f__Bradyrhizobiaceae (UID3695)        47         693           296         2    691    0    0   0    0       99.80            0.00               0.00          
  bin.33      g__Burkholderia (UID4006)           64         769           248         2    751    15   1   0    0       99.80            1.92               0.00          
  bin.75    f__Xanthomonadaceae (UID4214)         55         659           290         2    655    2    0   0    0       99.78            0.69               0.00          
  bin.85     o__Burkholderiales (UID4000)        193         427           214         1    421    5    0   0    0       99.77            0.85              40.00          
  bin.43     o__Burkholderiales (UID4105)         54         553           264         2    550    1    0   0    0       99.75            0.02               0.00          
  bin.65   c__Alphaproteobacteria (UID3422)       26         529           308         2    520    7    0   0    0       99.68            2.27              57.14          
  bin.98       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0   0    0       99.66            0.82               0.00          
  bin.99    f__Flavobacteriaceae (UID2817)        81         511           283         1    510    0    0   0    0       99.65            0.00               0.00          
  bin.32    f__Flavobacteriaceae (UID2817)        81         511           283         1    507    3    0   0    0       99.65            0.35               0.00          
  bin.25    f__Flavobacteriaceae (UID2817)        81         511           283         1    508    2    0   0    0       99.65            0.25               0.00          
  bin.16      f__Rhizobiaceae (UID3564)           78         840           354         3    829    7    0   1    0       99.63            1.14               7.69          
  bin.50    o__Sphingomonadales (UID3310)         26         569           293         2    552    14   1   0    0       99.57            3.43               0.00          
  bin.5      o__Burkholderiales (UID4105)         54         553           264         3    549    1    0   0    0       99.56            0.02               0.00          
  bin.38     o__Burkholderiales (UID4105)         54         553           264         3    549    1    0   0    0       99.56            0.02               0.00          
  bin.90      f__Rhizobiaceae (UID3563)           81         808           337         2    802    4    0   0    0       99.55            0.26               0.00          
  bin.44       o__Rhizobiales (UID3447)          356         408           244         2    404    2    0   0    0       99.55            0.25               0.00          
  bin.29     o__Burkholderiales (UID4002)        107         574           251         2    561    11   0   0    0       99.54            2.32               9.09          
  bin.97     o__Burkholderiales (UID4000)        193         427           214         1    339    86   1   0    0       99.53           23.24              96.63          
  bin.12     o__Burkholderiales (UID4000)        193         427           214         1    420    6    0   0    0       99.53            0.87              33.33          
  bin.81      g__Burkholderia (UID4006)           64         769           248         2    763    4    0   0    0       99.50            0.60               0.00          
  bin.42     o__Actinomycetales (UID1696)        455         315           190         1    309    5    0   0    0       99.47            1.75               0.00          
